,auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,my_status,occupancy_status,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2805833,,1341000,2019-10-09,Unknown,2,3,0,True,315000.0,1341000,False,1523,/details/2650-thrasher-ln-san-jose-ca-95125-2805833-e_13599a,False,0.22,auctioned,,False,1158,2650 THRASHER LN,San Jose,Santa Clara,2805833,Occupied,CA,SFR,95125,81,Completed - Pending Sale Result,True,UJ18500,411584,Live,1953
2843745,,540000,2019-10-03,Unknown,3,4,0,True,0.0,540000,False,2338,/details/1200-mayfield-cir-suisun-city-ca-94585-2843745-e_13547a,False,0.2,auctioned,,False,153,1200 MAYFIELD CIR,Suisun City,Solano,2843745,Occupied,CA,SFR,94585,6,Completed - Pending Sale Result,True,AH4500,405808,Live,1990
2834872,,388000,2019-09-25,Gone,1,3,0,True,70642.41,388000,False,1092,/details/156-jordan-street-vallejo-ca-94591-2834872-e_13495,False,0.18,auctioned,,False,620,156 JORDAN STREET,Vallejo,Solano,2834872,Occupied,CA,SFR,94591,18,Completed - Sold to 3rd Party,True,ZX20510,383724,Live,1942
2802301,,421000,2019-10-06,Sold subject to,,,8,,,,,,/details/626-solano-way-redlands-ca-92374-2802301-o_1260l,,,auctioned,Vacant,True,1912,,,,2802301,,,SFR,,,Pending,,ZN14331,402607,,1987
2833233,,Not Available,2019-09-30,Unknown,,,0,True,,,False,,/details/123-nolan-ct-forestville-ca-95436-2833233-e_13755a,False,,auctioned,,False,833,123 NOLAN CT,Forestville,Sonoma,2833233,Occupied,CA,,95436,23,Completed - Pending Sale Result,True,ZW25000,405147,Live,
2799767,,474000,2019-09-20,Unknown,2,3,0,True,,474000,False,1152,/details/1545-yardley-st-santa-rosa-ca-95403-2799767-e_13703a,False,0.01,auctioned,,False,713,1545 YARDLEY ST,Santa Rosa,Sonoma,2799767,Occupied,CA,Condo,95403,19,Completed - Pending Sale Result,True,AL5500,400599,Live,1984
2828637,,374000,2019-10-02,Gone,3,3,0,True,210000.0,374000,False,1775,/details/20829-grapevine-drive-patterson-ca-95363-2828637-e_13547,False,0.08,auctioned,,False,235,20829 GRAPEVINE DRIVE,Patterson,Stanislaus,2828637,Occupied,CA,SFR,95363,5,Completed - Sold to 3rd Party,True,AC2004,392509,Live,2016
2841279,,342000,2019-09-18,Gone,2,3,0,True,214498.81,342000,False,1309,/details/515-chesterfield-dr-patterson-ca-95363-2841279-e_13443,False,0.14,auctioned,,False,125,515 CHESTERFIELD DR,Patterson,Stanislaus,2841279,Occupied,CA,SFR,95363,3,Completed - Sold to 3rd Party,True,AH3009,395699,Live,1989
2815566,,287000,2019-09-16,Sold,,,6,,,,,,/details/1424-victoria-dr-modesto-ca-95351-2815566-o_1257l,,,auctioned,Occupied,True,466,,,,2815566,,,SFR,,,Pending,,YY26404,397355,,1940
2233215,,353000,2019-09-18,Gone,2.5,3,0,True,212288.89,353000,False,1609,/details/1121-el-vecino-avenue-modesto-ca-95350-2233215-e_13443,False,0.14,auctioned,,False,345,1121 EL VECINO AVENUE,Modesto,Stanislaus,2233215,Occupied,CA,SFR,95350,8,Completed - Sold to 3rd Party,True,AH3006,395699,Live,1988
2752640,,226000,2019-09-11,Unknown,1,4,0,True,0.0,226000,False,1069,/details/5628-7th-street-keyes-ca-95328-2752640-e_13391a,False,0.16,auctioned,,False,122,5628 7TH STREET,KEYES,Stanislaus,2752640,Occupied,CA,SFR,95328,19,Completed - Pending Sale Result,True,ZT23500,402399,Live,1947
2831245,,299000,2019-09-10,Gone,2,3,0,True,140000.0,299000,False,1079,/details/1551-belinda-way-sacramento-ca-95822-2831245-e_13391,False,0.17,auctioned,,False,557,1551 BELINDA WAY,Sacramento,Sacramento,2831245,,CA,SFR,95822,17,Completed - Sold to 3rd Party,True,ZI18024,378717,Live,1960
2827533,,539000,2019-09-10,Gone,3,4,0,True,362155.0,539000,False,2587,/details/2156-peakview-avenue-sacramento-ca-95835-2827533-e_13391,False,0.11,auctioned,,False,608,2156 PEAKVIEW AVENUE,Sacramento,Sacramento,2827533,Occupied,CA,SFR,95835,19,Completed - Sold to 3rd Party,True,ZI18017,378717,Live,2003
1400466,,2916000,2019-09-30,Sold,,,7,,,,,,/details/5719-dimas-court-pleasanton-ca-94566-1400466-o_1261l,,,auctioned,Occupied,True,1842,,,,1400466,,,SFR,,,Pending,,YC78330,400414,,2006
