auction_id,after_repair_value,auction_date,baths,bedrooms,cash_only,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,trustee_sale,venue_code,venue_id,venue_type,year_built,est_debt,est_opening_bid,opening_bid,auction_status,bid_count,occupancy_status,status_label
2812840,792000,2019-10-10,2.0,2.0,1.0,792000.0,0.0,1116.0,/details/466-crescent-street-unit-326-oakland-ca-94610-2812840-e_13599,0.0,0.01,0.0,265.0,466 CRESCENT STREET UNIT # 326,Oakland,Alameda,2812840.0,Occupied,CA,Condo,94610.0,13.0,1.0,ZV1504,385373.0,Live,1971.0,747184.0,650000.0,650000.0,,,,
2812919,438000,2019-09-15,,,,,,,/details/506-parker-ln-antioch-ca-94509-2812919-o_1257,,,1.0,25.0,,,,2812919.0,,,SFR,,,,AK56619,399191.0,,1930.0,,,,,,,
2813015,715000,2019-09-24,2.0,3.0,1.0,715000.0,0.0,1360.0,/details/4848-morwood-dr-richmond-ca-94803-2813015-e_13495,0.0,0.16,0.0,223.0,4848 MORWOOD DR,Richmond,Contra Costa,2813015.0,Occupied,CA,SFR,94803.0,14.0,1.0,AE3011,392505.0,Live,1960.0,,530000.0,530000.0,,,,
2813021,1450000,2019-09-18,2.5,4.0,1.0,1450000.0,0.0,1802.0,/details/1679-valley-crest-court-san-jose-ca-95131-2813021-e_13443,0.0,0.13,0.0,668.0,1679 VALLEY CREST COURT,San Jose,Santa Clara,2813021.0,Occupied,CA,SFR,95131.0,26.0,1.0,ZX25508,389264.0,Live,1987.0,,720000.0,720000.0,,,,
2814498,628000,2019-09-17,3.5,5.0,1.0,628000.0,0.0,2155.0,/details/103-michael-ct-vallejo-ca-94591-2814498-e_13443a,0.0,0.17,0.0,257.0,103 MICHAEL CT,Vallejo,Solano,2814498.0,Occupied,CA,SFR,94591.0,10.0,1.0,AJ5500,400229.0,Live,1980.0,,,,,,,
2814507,1104000,2019-10-07,1.0,2.0,1.0,1104000.0,0.0,744.0,/details/520-university-ave-san-jose-ca-95110-2814507-e_13599a,0.0,0.17,0.0,0.0,520 UNIVERSITY AVE,San Jose,Santa Clara,2814507.0,Occupied,CA,SFR,95110.0,14.0,1.0,UK19000,411585.0,Live,1930.0,,,,Unknown,0.0,,Active - Scheduled for Auction
2814552,665000,2019-09-18,3.0,4.0,1.0,665000.0,0.0,1966.0,/details/2421-zurlo-way-santa-rosa-ca-95403-2814552-e_13443a,0.0,0.12,0.0,640.0,2421 ZURLO WAY,Santa Rosa,Sonoma,2814552.0,Occupied,CA,SFR,95403.0,29.0,1.0,ZY4000,398013.0,Live,1989.0,,,,,,,
2814554,1399000,2019-10-09,2.0,3.0,1.0,1399000.0,0.0,1118.0,/details/4082-polonius-cir-fremont-ca-94555-2814554-e_13599a,0.0,0.19,0.0,0.0,4082 POLONIUS CIR,Fremont,Alameda,2814554.0,Occupied,CA,SFR,94555.0,15.0,1.0,UM20000,411941.0,Live,1985.0,,,,Unknown,0.0,,Active - Scheduled for Auction
2814619,1884000,2019-11-06,3.5,4.0,1.0,1884000.0,0.0,3666.0,/details/120-windwalker-way-novato-ca-94945-2814619-e_13807,0.0,0.42,0.0,659.0,120 WINDWALKER WAY,Novato,Marin,2814619.0,Occupied,CA,SFR,94945.0,41.0,1.0,YV7500,402026.0,Live,2002.0,370597.0,295000.0,295000.0,,,,
2814769,543000,2019-10-09,3.0,4.0,1.0,543000.0,0.0,1950.0,/details/1105-willow-lane-fairfield-ca-94533-2814769-e_13599,0.0,0.16,0.0,452.0,1105 WILLOW LANE,Fairfield,Solano,2814769.0,Occupied,CA,SFR,94533.0,15.0,1.0,AA1005,384416.0,Live,1988.0,,335000.0,335000.0,,,,
