auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_debt,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,occupancy_status,online_event,opening_bid,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2802761.0,308000,2019-09-24,Unknown,2,4,0.0,True,84244.0,65000.0,308000.0,False,1058,/details/5570-ontario-street-sacramento-ca-95820-2802761-e_13495,False,0.13,,False,65000.0,1285.0,5570 ONTARIO STREET,Sacramento,Sacramento,2802761,Occupied,CA,SFR,95820,101.0,Active - Scheduled for Auction,True,EY13014,382145.0,Live,1957
2805520.0,385000,2019-10-08,Unknown,2,3,0.0,True,229793.0,185000.0,385000.0,False,1516,/details/8209-alba-ct-citrus-heights-ca-95610-2805520-e_13599,False,0.19,,False,185000.0,541.0,8209 ALBA CT,Citrus Heights,Sacramento,2805520,Occupied,CA,SFR,95610,42.0,Active - Scheduled for Auction,True,ZW2009,386312.0,Live,1978
2805768.0,487000,2019-09-24,Unknown,2,3,0.0,True,,,487000.0,False,1715,/details/3991-71st-st-sacramento-ca-95820-2805768-e_13495a,False,0.23,,False,,40.0,3991 71ST ST,Sacramento,Sacramento,2805768,Occupied,CA,SFR,95820,13.0,Active - Scheduled for Auction,True,AC2001,405099.0,Live,1965
2806386.0,473000,2019-11-19,Unknown,2,4,0.0,True,308079.0,245000.0,473000.0,False,2109,/details/8814-boreal-way-elk-grove-ca-95758-2806386-e_13911,False,0.14,,False,245000.0,353.0,8814 BOREAL WAY,Elk Grove,Sacramento,2806386,,CA,SFR,95758,32.0,Active - Scheduled for Auction,True,AE3000,398278.0,Live,1990
2807241.0,472000,2019-09-24,Unknown,2,3,0.0,True,422681.0,325000.0,472000.0,False,1706,/details/36-fallwind-circle-sacramento-ca-95831-2807241-e_13495,False,0.21,,False,325000.0,262.0,36 FALLWIND CIRCLE,Sacramento,Sacramento,2807241,Occupied,CA,SFR,95831,18.0,Active - Scheduled for Auction,True,EY13027,382145.0,Live,1982
2807932.0,373000,2019-09-08,Sold,,,8.0,,,,,,,/details/8729-los-olivas-ct-stockton-ca-95210-2807932-o_1256,,,Occupied,True,,337.0,,,,2807932,,,SFR,,,Pending,,AD56612,398507.0,,1969
2810555.0,401000,2019-11-19,Unknown,1,3,0.0,True,,235000.0,401000.0,False,1404,/details/7925-twin-oaks-ave-citrus-heights-ca-95610-2810555-e_13911,False,0.26,,False,235000.0,60.0,7925 TWIN OAKS AVE,Citrus Heights,Sacramento,2810555,Occupied,CA,SFR,95610,45.0,Active - Scheduled for Auction,True,AE3006,398278.0,Live,1957
2815779.0,,,,,,,,,,,,,/details/213-riverbend-ln-waterford-ca-95386-2815779-e_13651,,,,,,,,,,,,,,,,,,,,,
2815916.0,496000,2019-09-16,Live,,,0.0,,,,,,,/details/871-swan-dr-manteca-ca-95337-2815916-o_1257l,,,Occupied,True,,1549.0,,,,2815916,,,SFR,,,For Sale,,YY26329,397355.0,,1994
2819174.0,406000,2019-10-11,Unknown,2,3,0.0,True,,,406000.0,False,1470,/details/7767-madison-avenue-citrus-heights-ca-95610-2819174-e_13599a,False,0.28,,False,,178.0,7767 MADISON AVENUE,Citrus Heights,Sacramento,2819174,Occupied,CA,SFR,95610,13.0,Active - Scheduled for Auction,True,AB1500,398693.0,Live,1960
2823464.0,451000,2019-09-11,Gone,2,3,0.0,True,388686.0,275000.0,451000.0,False,1320,/details/125-de-paul-dr-vallejo-ca-94589-2823464-e_13391,False,0.14,,False,275000.0,262.0,125 DE PAUL DR,Vallejo,Solano,2823464,Occupied,CA,SFR,94589,9.0,Completed - Reverted to Beneficiary,True,ZR22506,386292.0,Live,1978
2824104.0,710000,2019-09-12,Gone,1.5,1,0.0,True,252211.0,252211.33,710000.0,False,957,/details/6625-hillmont-dr-oakland-ca-94605-2824104-e_13391,False,0.17,,False,252211.33,823.0,6625 HILLMONT DR,Oakland,Alameda,2824104,Occupied,CA,SFR,94605,25.0,Completed - Sold to 3rd Party,True,ZJ18507,381258.0,Live,1925
2824105.0,,,,,,,,,,,,,/details/950-cragmont-avenue-berkeley-ca-94708-2824105-e_13495,,,,,,,,,,,,,,,,,,,,,
2827533.0,539000,2019-09-10,Gone,3,4,0.0,True,362155.0,362155.0,539000.0,False,2587,/details/2156-peakview-avenue-sacramento-ca-95835-2827533-e_13391,False,0.11,,False,362155.0,608.0,2156 PEAKVIEW AVENUE,Sacramento,Sacramento,2827533,Occupied,CA,SFR,95835,19.0,Completed - Sold to 3rd Party,True,ZI18017,378717.0,Live,2003
2829026.0,358000,2019-09-11,Gone,1,2,0.0,True,320508.0,200000.0,358000.0,False,1096,/details/718-springs-rd-vallejo-ca-94590-2829026-e_13391,False,0.09,,False,200000.0,223.0,718 SPRINGS RD,Vallejo,Solano,2829026,Occupied,CA,SFR,94590,4.0,Completed - Sold to 3rd Party,True,ZR22509,386292.0,Live,1934
2829029.0,663000,2019-09-11,Gone,2.5,4,0.0,True,453868.0,453868.37,663000.0,False,2306,/details/153-camino-del-sol-vallejo-ca-94591-2829029-e_13391,False,0.08,,False,453868.37,561.0,153 CAMINO DEL SOL,Vallejo,Solano,2829029,Occupied,CA,SFR,94591,11.0,Completed - Reverted to Beneficiary,True,ZR22510,386292.0,Live,1992
2831245.0,299000,2019-09-10,Gone,2,3,0.0,True,205086.0,140000.0,299000.0,False,1079,/details/1551-belinda-way-sacramento-ca-95822-2831245-e_13391,False,0.17,,False,140000.0,557.0,1551 BELINDA WAY,Sacramento,Sacramento,2831245,,CA,SFR,95822,17.0,Completed - Sold to 3rd Party,True,ZI18024,378717.0,Live,1960
2831476.0,Not Available,2019-09-05,Sold subject to,,,4.0,,,,,,,/details/1142-corby-avenue-santa-rosa-ca-95407-2831476-o_1256l,,,Occupied,True,,362.0,,,,2831476,,,SFR,,,Pending,,AJ14344,394871.0,,1946
2834589.0,375000,2019-09-10,Gone,2,3,0.0,True,147915.0,147915.84,375000.0,False,1324,/details/490-summer-garden-way-sacramento-ca-95833-2834589-e_13391,False,0.13,,False,147915.84,1744.0,490 SUMMER GARDEN WAY,Sacramento,Sacramento,2834589,Occupied,CA,SFR,95833,46.0,Completed - Sold to 3rd Party,True,ZI18038,378717.0,Live,2004
