,auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,my_status,occupancy_status,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2571789,,Not Available,2019-11-21,Unknown,6.5,5.0,0.0,True,1100000.0,,False,9511.0,/details/3795-arbutus-court-hayward-ca-94542-2571789-e_13911,False,4.0,active,,0.0,1314.0,3795 ARBUTUS COURT,Hayward,Alameda,2571789,Occupied,CA,SFR,94542.0,91.0,Active - Scheduled for Auction,True,TM3501,398408.0,Live,2005.0
1398414,,2257000,2019-10-24,Unknown,6.0,12.0,0.0,True,1400000.0,2257000.0,False,4548.0,/details/40835-lincoln-street-fremont-ca-94538-1398414-e_13703,False,0.3,active,,0.0,1326.0,40835 LINCOLN STREET,FREMONT,Alameda,1398414,Occupied,CA,4-Plex,94538.0,229.0,Active - Scheduled for Auction,True,TD13501,395297.0,Live,1991.0
2499464,,Not Available,2019-12-19,Unknown,3.5,4.0,0.0,True,660000.0,,False,4073.0,/details/8202-regency-dr-pleasanton-ca-94588-2499464-e_14119,False,0.13,active,,0.0,1542.0,8202 REGENCY DR,Pleasanton,Alameda,2499464,Occupied,CA,SFR,94588.0,67.0,Active - Scheduled for Auction,True,AA1000,399488.0,Live,1999.0
2493405,,Not Available,2019-09-26,Unknown,4.0,4.0,0.0,True,130832.2,,False,2176.0,/details/1387-and-1389-145th-avenue-san-leandro-ca-94578-2493405-e_13807,False,0.15,active,,0.0,3902.0,1387 AND 1389 145TH AVENUE,SAN LEANDRO,Alameda,2493405,Occupied,CA,Duplex,94578.0,305.0,Active - Scheduled for Auction,True,AB1504,384407.0,Live,1966.0
2108475,,1171000,2019-10-24,Unknown,1.0,2.0,0.0,True,290000.0,1171000.0,False,1093.0,/details/1204-stannage-ave-berkeley-ca-94706-2108475-e_13703,False,0.08,active,,0.0,2938.0,1204 STANNAGE AVE,Berkeley,Alameda,2108475,Occupied,CA,SFR,94706.0,401.0,Active - Scheduled for Auction,True,TD13500,395297.0,Live,1927.0
2840447,,568000,2019-09-24,Unknown,3.0,4.0,0.0,True,115000.0,568000.0,False,1538.0,/details/136-brenner-hercules-ca-94547-2840447-e_13703,False,0.01,active,,0.0,260.0,136 BRENNER,Hercules,Contra Costa,2840447,Occupied,CA,Condo,94547.0,15.0,Active - Scheduled for Auction,True,AE3023,392505.0,Live,1988.0
2834842,,723000,2019-09-24,Unknown,3.0,4.0,0.0,True,470000.0,723000.0,False,3744.0,/details/1233-poplar-drive-oakley-ca-94561-2834842-e_13807,False,0.15,active,,0.0,100.0,1233 POPLAR DRIVE,Oakley,Contra Costa,2834842,Occupied,CA,SFR,94561.0,6.0,Active - Scheduled for Auction,True,AE3013,392505.0,Live,2007.0
2838640,,490000,2019-09-24,Unknown,1.0,2.0,0.0,True,290000.0,490000.0,False,838.0,/details/1421-coalinga-avenue-richmond-ca-94801-2838640-e_14015,False,0.11,active,,0.0,96.0,1421 COALINGA AVENUE,Richmond,Contra Costa,2838640,Occupied,CA,SFR,94801.0,3.0,Active - Scheduled for Auction,True,AE3020,392505.0,Live,1943.0
2835649,,654000,2019-09-24,Gone,2.5,4.0,0.0,True,430000.0,654000.0,False,2422.0,/details/5356-thunderbird-ct-antioch-ca-94531-2835649-e_13495,False,0.27,active,,0.0,175.0,5356 THUNDERBIRD CT,Antioch,Contra Costa,2835649,Occupied,CA,SFR,94531.0,11.0,Completed - Reverted to Beneficiary,True,AE3015,392505.0,Live,1999.0
2838629,,568000,2019-11-04,Unknown,2.0,4.0,0.0,True,,568000.0,False,2083.0,/details/2817-bellflower-dr-antioch-ca-94531-2838629-e_13807,False,0.26,active,,0.0,156.0,2817 BELLFLOWER DR,Antioch,Contra Costa,2838629,Occupied,CA,SFR,94531.0,12.0,Active - Scheduled for Auction,True,AE3005,394024.0,Live,1987.0
2832776,,1273000,2019-11-19,Unknown,2.5,3.0,0.0,True,,1273000.0,False,1577.0,/details/181-clydesdale-drive-danville-ca-94526-2832776-e_13911,False,0.23,active,,0.0,448.0,181 CLYDESDALE DRIVE,Danville,Contra Costa,2832776,,CA,SFR,94526.0,33.0,Active - Scheduled for Auction,True,AA1003,395299.0,Live,1962.0
2828996,,676000,2019-11-19,Unknown,2.5,4.0,0.0,True,125000.0,676000.0,False,2516.0,/details/3221-south-ridge-dr-richmond-ca-94806-2828996-e_13911,False,0.01,active,,0.0,468.0,3221 SOUTH RIDGE DR,Richmond,Contra Costa,2828996,Occupied,CA,Condo,94806.0,31.0,Active - Scheduled for Auction,True,AA1002,395299.0,Live,1987.0
